Country,Partner Name,Trade Flow,Product Group,Indicator,Year,Amount,TII,TII Score
China,Viet Nam,Import,  All Products,Import (US$ Thousand),1998,217350.291,TII,2.749056479
China, World,Export,  All Products,Export (US$ Thousand),1998,183808987.8,TII,1
China,Afghanistan,Export,  All Products,Export (US$ Thousand),1998,24164.796,TII,2.043127754
China,Bangladesh,Export,  All Products,Export (US$ Thousand),1998,660475.656,TII,3.042660179
China,Belarus,Export,  All Products,Export (US$ Thousand),1998,6456.837,TII,0.024828348
China,Egypt,Export,  All Products,Export (US$ Thousand),1998,574741.114,TII,0.867605401
China,India,Export,  All Products,Export (US$ Thousand),1998,1016671.567,TII,0.934546034
China,Iran,Export,  All Products,Export (US$ Thousand),1998,656503.035,TII,1.728600323
China,Iraq,Export,  All Products,Export (US$ Thousand),1998,104671.092,TII,2.236119792
China,Israel,Export,  All Products,Export (US$ Thousand),1998,361284.211,TII,0.404995622
China,Japan,Export,  All Products,Export (US$ Thousand),1998,29660095.39,TII,3.780650086
China,South Korea,Export,  All Products,Export (US$ Thousand),1998,6251495.873,TII,2.601580601
China,Myanmar,Export,  All Products,Export (US$ Thousand),1998,514314.83,TII,6.045176035
China,Pakistan,Export,  All Products,Export (US$ Thousand),1998,523412.251,TII,2.191185724
China,Qatar,Export,  All Products,Export (US$ Thousand),1998,16169.333,TII,0.15026465
China,Russia,Export,  All Products,Export (US$ Thousand),1998,1839908.278,TII,1.02979901
China,Saudi Arabia,Export,  All Products,Export (US$ Thousand),1998,895811.987,TII,0.689592711
China,Turkiye,Export,  All Products,Export (US$ Thousand),1998,659063.142,TII,0.474996237
China,UAE,Export,  All Products,Export (US$ Thousand),1998,1291306.362,TII,1.24605052
China,United States,Export,  All Products,Export (US$ Thousand),1998,37983569.93,TII,1.244800796
China,Viet Nam,Export,  All Products,Export (US$ Thousand),1998,1028281.944,TII,2.749056479
United States, World,Export,  All Products,Export (US$ Thousand),1998,680434596.8,TII,1
United States,Afghanistan,Export,  All Products,Export (US$ Thousand),1998,7013.744,TII,0.160192676
United States,Bangladesh,Export,  All Products,Export (US$ Thousand),1998,317711.878,TII,0.395376128
United States,Belarus,Export,  All Products,Export (US$ Thousand),1998,30366.62,TII,0.031543132
United States,China,Export,  All Products,Export (US$ Thousand),1998,14257941.63,TII,0.739579318
United States,Egypt,Export,  All Products,Export (US$ Thousand),1998,3059792.81,TII,1.247735
United States,India,Export,  All Products,Export (US$ Thousand),1998,3544678.96,TII,0.880191731
United States,Iran,Export,  All Products,Export (US$ Thousand),1998,28.763,TII,2.05E-05
United States,Iraq,Export,  All Products,Export (US$ Thousand),1998,106455.956,TII,0.614353916
United States,Israel,Export,  All Products,Export (US$ Thousand),1998,6981809.551,TII,2.114217679
United States,Japan,Export,  All Products,Export (US$ Thousand),1998,57884417.2,TII,1.993131539
United States,South Korea,Export,  All Products,Export (US$ Thousand),1998,16538268.58,TII,1.859189823
United States,Myanmar,Export,  All Products,Export (US$ Thousand),1998,31818.435,TII,0.101027377
United States,Pakistan,Export,  All Products,Export (US$ Thousand),1998,726246.099,TII,0.82129556
United States,Qatar,Export,  All Products,Export (US$ Thousand),1998,354110.216,TII,0.888962684
United States,Russia,Export,  All Products,Export (US$ Thousand),1998,3584615.964,TII,0.541975041
United States,Saudi Arabia,Export,  All Products,Export (US$ Thousand),1998,10524896.18,TII,2.188638173
United States,Turkiye,Export,  All Products,Export (US$ Thousand),1998,3512531.667,TII,0.683854563
United States,UAE,Export,  All Products,Export (US$ Thousand),1998,2369609.192,TII,0.617679862
United States,Viet Nam,Export,  All Products,Export (US$ Thousand),1998,274216.553,TII,0.198036607
United States, World,Import,  All Products,Import (US$ Thousand),1998,944350087.1,TII,1
United States,Afghanistan,Import,  All Products,Import (US$ Thousand),1998,17520.208,TII,0.160192676
United States,Bangladesh,Import,  All Products,Import (US$ Thousand),1998,1946407.516,TII,0.395376128
United States,Belarus,Import,  All Products,Import (US$ Thousand),1998,112563.033,TII,0.031543132
United States,China,Import,  All Products,Import (US$ Thousand),1998,75094917.64,TII,0.739579318
United States,Egypt,Import,  All Products,Import (US$ Thousand),1998,698609.472,TII,1.247735
United States,India,Import,  All Products,Import (US$ Thousand),1998,8658535.09,TII,0.880191731
United States,Iran,Import,  All Products,Import (US$ Thousand),1998,27.208,TII,2.05E-05
United States,Iraq,Import,  All Products,Import (US$ Thousand),1998,1360678.264,TII,0.614353916
United States,Israel,Import,  All Products,Import (US$ Thousand),1998,8785376.407,TII,2.114217679
United States,Japan,Import,  All Products,Import (US$ Thousand),1998,125089616.8,TII,1.993131539
United States,South Korea,Import,  All Products,Import (US$ Thousand),1998,24804795.9,TII,1.859189823
United States,Myanmar,Import,  All Products,Import (US$ Thousand),1998,174804.783,TII,0.101027377
United States,Pakistan,Import,  All Products,Import (US$ Thousand),1998,1788113.559,TII,0.82129556
United States,Qatar,Import,  All Products,Import (US$ Thousand),1998,237520.924,TII,0.888962684
United States,Russia,Import,  All Products,Import (US$ Thousand),1998,6008276.403,TII,0.541975041
United States,Saudi Arabia,Import,  All Products,Import (US$ Thousand),1998,7168647.77,TII,2.188638173
United States,Turkiye,Import,  All Products,Import (US$ Thousand),1998,2677335.348,TII,0.683854563
United States,UAE,Import,  All Products,Import (US$ Thousand),1998,707870.18,TII,0.617679862
United States,Viet Nam,Import,  All Products,Import (US$ Thousand),1998,596040.789,TII,0.198036607
Russia, World,Import,  All Products,Import (US$ Thousand),1998,46176985.04,TII,1
Russia,Afghanistan,Import,  All Products,Import (US$ Thousand),1998,5083.359,TII,2.930869615
Russia,Bangladesh,Import,  All Products,Import (US$ Thousand),1998,1410.497,TII,0.612425196
Russia,Belarus,Import,  All Products,Import (US$ Thousand),1998,3977107,TII,45.2053089
Russia,China,Import,  All Products,Import (US$ Thousand),1998,2401128.472,TII,1.562509855
Russia,India,Import,  All Products,Import (US$ Thousand),1998,516920.723,TII,1.367872065
Russia,Iraq,Import,  All Products,Import (US$ Thousand),1998,0.095,TII,2.339996901
Russia,Israel,Import,  All Products,Import (US$ Thousand),1998,159808.923,TII,1.408098511
Russia,Japan,Import,  All Products,Import (US$ Thousand),1998,980278.603,TII,0.711115768
